"","x"
"233",3.29444647340473
"234",2.23901526219566
"235",1.55794029356377
"236",1.138349120899
"237",-3.67807883011137
"238",-3.49267747136327
"239",-4.38343912282599
"240",-5.14237182949082
"241",0.464172204329758
"242",-4.39735015586863
"243",-2.55129395014308
"244",-4.98139155446358
"245",-8.36629319451359
"246",-0.852583506546653
"247",0.0213800456317896
"248",-3.64593959594776
"249",-7.47611991200339
"250",-3.85058501155675
"251",-1.77781064835905
"252",-1.41562294532932
"253",-2.02973563001977
"254",-2.23929078009717
"255",-0.303529914879065
"256",-0.120589842315463
"257",0.303897329010031
"258",2.15844932233556
"259",-0.424334688923184
"260",-1.43711222546584
"261",-5.9242843876554
"262",-3.26660919024128
"263",-1.31311590923815
"264",-2.18625192783026
"265",-2.24382447595791
"266",-2.31194923007173
"267",-1.58809556079991
"268",-2.52609875726947
"269",0.127189856935084
"270",2.59535055570099
"271",1.66409992113042
"272",-2.23170286622709
"273",-7.79330138396088
"274",-6.23399644060824
"275",-5.33370571377467
"276",-4.60558196405593
"277",-2.90617660676573
"278",-1.4228006667975
"279",3.53365167708085
"280",3.44086980421184
"281",1.29013392386478
"282",0.752035973447176
"283",2.04424229583567
"284",-1.08476463299412
"285",-3.01826065759075
"286",1.30512690702894
"287",5.56157884017762
"288",3.89930784410475
"289",1.08061260134726
"290",3.58244007800011
"291",-3.21619054587205
"292",-2.97206198463621
"293",-4.08965064347038
"294",-0.313755627690393
"295",0.0569360102325689
"296",-0.797374267475218
"297",1.93941413761531
"298",2.91948183982409
"299",-0.130906506911435
"300",1.65363628525303
"301",0.619767969152557
"302",0.815140279982409
"303",-2.51058665397145
"304",4.46766552794755
"305",7.14248208012572
"306",4.36799970901727
"307",1.57613831367743
"308",-4.01866564036759
"309",-2.62391972026445
"310",-0.374954032201276
"311",1.63234150878708
"312",0.252011879850851
"313",-2.60660164580937
"314",-12.741185089096
"315",-15.2546662189504
"316",-15.780538240389
"317",-17.7557460374106
"318",-14.5527228400173
"319",-14.0175317443694
"320",-13.6829280141338
"321",-12.0629420625988
"322",-10.6504597531034
"323",-13.0705637046695
"324",-11.9387677960552
"325",-18.2919749226747
"326",-25.2864695972674
"327",-25.092669030955
"328",-17.5654439342425
"329",-12.9494892776511
"330",-8.76491414791251
"331",-4.69977188884382
"332",-0.688589878347417
"333",-3.93711744978988
"334",-0.860524459893195
"335",3.66407691210162
"336",-2.36055428024488
"337",-1.40967859352416
"338",-8.06070516000306
"339",-0.967613765807407
"340",0.274470866705938
"341",-3.91031416492619
"342",-1.78080083805124
"343",8.16362340021815
"344",1.84886822352248
"345",0.522820770338637
"346",0.648730606173379
"347",3.76919517535703
"348",2.09010130604503
"349",0.653800572710401
"350",1.74394188324503
"351",3.27566566331152
"352",1.12243516046699
"353",2.76187843055928
"354",5.92985715411591
"355",2.61245089197039
